section,advanced,abs_corr,OBP_approx,HR_rate,BA,BABIP,p_era,k_percent,bb_percent,babip
Hitting: drivers of OBP_approx,bb_percent,0.728613651,0.7286136509478058,,,,,,,
Hitting: drivers of OBP_approx,xwoba,0.665103407,0.6651034067680219,,,,,,,
Hitting: drivers of OBP_approx,xba,0.499451589,0.4994515894432424,,,,,,,
Hitting: drivers of OBP_approx,oz_swing_percent,0.499229464,-0.499229464,,,,,,,
Hitting: drivers of OBP_approx,exit_velocity_avg,0.267225723,0.267225723,,,,,,,
Hitting: drivers of OBP_approx,sweet_spot_percent,0.212430072,0.2124300724771987,,,,,,,
Hitting: drivers of OBP_approx,barrel_batted_rate,0.203243899,0.203243899,,,,,,,
Hitting: drivers of OBP_approx,hard_hit_percent,0.198476888,0.1984768882577186,,,,,,,
Hitting: drivers of HR_rate,barrel_batted_rate,0.878377111,,0.8783771112686751,,,,,,
Hitting: drivers of HR_rate,xwoba,0.688151569,,0.688151569,,,,,,
Hitting: drivers of HR_rate,hard_hit_percent,0.632780836,,0.6327808364717267,,,,,,
Hitting: drivers of HR_rate,exit_velocity_avg,0.595618483,,0.5956184834350375,,,,,,
Hitting: drivers of HR_rate,iz_contact_percent,0.585965328,,-0.585965328,,,,,,
Hitting: drivers of HR_rate,k_percent,0.47955345,,0.4795534495274899,,,,,,
Hitting: drivers of HR_rate,launch_angle_avg,0.447347695,,0.447347695,,,,,,
Hitting: drivers of HR_rate,bb_percent,0.367328063,,0.3673280629101216,,,,,,
Hitting: drivers of BA,xba,0.761311671,,,0.7613116707623083,,,,,
Hitting: drivers of BA,k_percent,0.512259412,,,-0.512259412,,,,,
Hitting: drivers of BA,iz_contact_percent,0.32987423,,,0.3298742298827775,,,,,
Hitting: drivers of BA,xwoba,0.324349172,,,0.324349172,,,,,
Hitting: drivers of BA,launch_angle_avg,0.223652946,,,-0.223652946,,,,,
Hitting: drivers of BA,barrel_batted_rate,0.122658902,,,-0.122658902,,,,,
Hitting: drivers of BA,sweet_spot_percent,0.104174722,,,0.104174722,,,,,
Hitting: drivers of BA,oz_swing_percent,0.08987005,,,0.08987005,,,,,
Hitting: drivers of BABIP,launch_angle_avg,0.392023469,,,,-0.392023469,,,,
Hitting: drivers of BABIP,xba,0.339669039,,,,0.3396690385208565,,,,
Hitting: drivers of BABIP,sweet_spot_percent,0.180776318,,,,0.1807763181301371,,,,
Hitting: drivers of BABIP,xwoba,0.124965869,,,,0.1249658693363117,,,,
Hitting: drivers of BABIP,exit_velocity_avg,0.124096838,,,,0.1240968380556289,,,,
Hitting: drivers of BABIP,hard_hit_percent,0.11779379,,,,0.1177937899806342,,,,
Hitting: drivers of BABIP,iz_contact_percent,0.100667496,,,,-0.100667496,,,,
Hitting: drivers of BABIP,k_percent,0.087134021,,,,0.087134021,,,,
Pitching: drivers of p_era,xwoba,0.798277082,,,,,0.7982770822478918,,,
Pitching: drivers of p_era,z_swing_miss_percent,0.589129119,,,,,-0.589129119,,,
Pitching: drivers of p_era,miss proxy %,0.585797381,,,,,-0.585797381,,,
Pitching: drivers of p_era,whiff_percent,0.532541503,,,,,-0.532541503,,,
Pitching: drivers of p_era,exit_velocity_avg,0.463863736,,,,,0.463863736,,,
Pitching: drivers of p_era,barrel_batted_rate,0.430396995,,,,,0.4303969950860049,,,
Pitching: drivers of p_era,hard_hit_percent,0.424302422,,,,,0.4243024219655739,,,
Pitching: drivers of p_era,LD RATE,0.35699055,,,,,0.3569905497109892,,,
Pitching: drivers of k_percent,miss proxy %,0.896553949,,,,,,0.8965539491558506,,
Pitching: drivers of k_percent,whiff_percent,0.892481292,,,,,,0.8924812922080353,,
Pitching: drivers of k_percent,xwoba,0.825647123,,,,,,-0.825647123,,
Pitching: drivers of k_percent,z_swing_miss_percent,0.808827217,,,,,,0.8088272171829346,,
Pitching: drivers of k_percent,oz_swing_percent,0.46611292,,,,,,0.4661129198609134,,
Pitching: drivers of k_percent,hard_hit_percent,0.294286712,,,,,,-0.294286712,,
Pitching: drivers of k_percent,exit_velocity_avg,0.290181821,,,,,,-0.290181821,,
Pitching: drivers of k_percent,barrel_batted_rate,0.26518537,,,,,,-0.26518537,,
Pitching: drivers of bb_percent,f_strike_percent,0.563418036,,,,,,,-0.563418036,
Pitching: drivers of bb_percent,oz_swing_percent,0.496785969,,,,,,,-0.496785969,
Pitching: drivers of bb_percent,in_zone_percent,0.443505194,,,,,,,-0.443505194,
Pitching: drivers of bb_percent,xwoba,0.339569044,,,,,,,0.3395690443264571,
Pitching: drivers of bb_percent,exit_velocity_avg,0.242213344,,,,,,,0.2422133440887439,
Pitching: drivers of bb_percent,hard_hit_percent,0.230189323,,,,,,,0.2301893230544244,
Pitching: drivers of bb_percent,Called strike share,0.186728518,,,,,,,0.1867285176453642,
Pitching: drivers of bb_percent,FB RATE,0.166650343,,,,,,,-0.166650343,
Pitching: drivers of babip,FB RATE,0.391559141,,,,,,,,-0.391559141
Pitching: drivers of babip,LD RATE,0.301277048,,,,,,,,0.3012770478304051
Pitching: drivers of babip,xwoba,0.277460754,,,,,,,,0.2774607541644417
Pitching: drivers of babip,z_swing_miss_percent,0.218149817,,,,,,,,-0.218149817
Pitching: drivers of babip,GB RATE,0.192467091,,,,,,,,0.192467091
Pitching: drivers of babip,in_zone_percent,0.180915484,,,,,,,,-0.180915484
Pitching: drivers of babip,exit_velocity_avg,0.150599305,,,,,,,,0.1505993047535649
Pitching: drivers of babip,miss proxy %,0.140143782,,,,,,,,-0.140143782
