,BA,OBP_approx,BABIP,HR_rate
xba,0.7613116707623083,0.49945158944324247,0.3396690385208565,-0.011318123643885666
xwoba,0.324349172449417,0.6651034067680219,0.12496586933631172,0.688151569215213
exit_velocity_avg,-0.01104674920421039,0.267225722724126,0.1240968380556289,0.5956184834350375
launch_angle_avg,-0.22365294639316263,-0.023216695615949124,-0.3920234693613835,0.44734769529323504
sweet_spot_percent,0.10417472238056101,0.21243007247719872,0.1807763181301371,0.1315870964909511
barrel_batted_rate,-0.12265890168596119,0.203243898536163,-0.041413075441255366,0.8783771112686751
hard_hit_percent,-0.06859199656585899,0.19847688825771867,0.11779378998063421,0.6327808364717267
oz_swing_percent,0.08987005046917765,-0.499229463724087,-0.0037613859180714625,-0.01256039435941649
iz_contact_percent,0.32987422988277754,-0.008756415781835567,-0.10066749629451285,-0.585965328167945
k_percent,-0.512259412377831,-0.18864527186505645,0.08713402075949231,0.4795534495274899
bb_percent,-0.05455541532869605,0.7286136509478058,0.021717972578143667,0.36732806291012166
