,k_percent,bb_percent,babip,p_era
whiff_percent,0.8924812922080353,-0.013563627428848759,-0.06299594184711885,-0.5325415027450896
z_swing_miss_percent,0.8088272171829346,-0.14675439591342213,-0.21814981720132126,-0.5891291188704111
oz_swing_percent,0.4661129198609134,-0.4967859687908215,-0.06048809189461079,-0.3515021203498181
in_zone_percent,-0.07885154196058704,-0.4435051938054422,-0.18091548382419265,-0.0890869461592482
f_strike_percent,0.2092801897348501,-0.5634180363562146,0.006381441515349321,-0.20332499850882577
exit_velocity_avg,-0.29018182088895367,0.2422133440887439,0.1505993047535649,0.463863736135952
barrel_batted_rate,-0.26518537004116516,-0.009365152751663651,-0.011696785380394353,0.43039699508600493
hard_hit_percent,-0.2942867118900669,0.2301893230544244,0.12466447606367949,0.4243024219655739
xwoba,-0.8256471226488,0.3395690443264571,0.2774607541644417,0.7982770822478918
Called strike share,-0.13269072479794164,0.18672851764536427,0.08897329528366464,0.022348756936776334
GB RATE,0.036219736094457805,0.15106914097435675,0.19246709089682207,-0.15078794707286544
FB RATE,0.042368082505561885,-0.16665034344838217,-0.39155914142795445,0.002831535411458381
LD RATE,-0.16974425930114728,-0.03802973083944074,0.30127704783040515,0.35699054971098926
miss proxy %,0.8965539491558506,-0.0777935156669804,-0.1401437816229492,-0.5857973811076289
