target,stat,pearson,spearman,abs_pearson
WinPct,RA,-0.8980167683349796,-0.9137071729631328,0.8980167683349796
WinPct,WHIP,-0.8953806074048954,-0.8949167496812771,0.8953806074048954
WinPct,ERA,-0.8942503950405363,-0.898063743548033,0.8942503950405363
WinPct,R,-0.8893046940238433,-0.8885180460293807,0.8893046940238433
WinPct,ER,-0.8848569586113997,-0.8665183537263625,0.8848569586113997
WinPct,K/BB,0.853358906645339,0.8550758808100664,0.853358906645339
WinPct,H/9,-0.8433026714625497,-0.8081934993038199,0.8433026714625497
WinPct,IP,0.8403418091604897,0.8174435471653249,0.8403418091604897
WinPct,K%,0.8345341273733209,0.8133142845611168,0.8345341273733209
WinPct,OBP,0.825964833792228,0.810788005864194,0.825964833792228
WinPct,BB,0.8258446145278547,0.8379130099685937,0.8258446145278547
WinPct,H.1,-0.8167806324474962,-0.7357063403781979,0.8167806324474962
WinPct,OPS,0.7760321252891278,0.7092610664568788,0.7760321252891278
WinPct,K/9,0.7634542676946933,0.729943292032892,0.7634542676946933
WinPct,SLG,0.7169292586465497,0.6460308332356928,0.7169292586465497
WinPct,HR,0.7068107371524626,0.6336633702577151,0.7068107371524626
WinPct,BB/9,-0.6806189196886712,-0.6673349340349485,0.6806189196886712
WinPct,TB,0.6715920866599939,0.6120133481646273,0.6715920866599939
WinPct,BABIP,-0.6675482588504065,-0.5567357626831324,0.6675482588504065
WinPct,XBH,0.6585603512271777,0.6280311457174638,0.6585603512271777
WinPct,BB.1,-0.6503009466354275,-0.6302558398220245,0.6503009466354275
WinPct,BB%,-0.592419528243531,-0.5909839002183619,0.592419528243531
WinPct,HR/9,-0.5537838472231161,-0.5800565204354916,0.5537838472231161
WinPct,HR.1,-0.5090048072564786,-0.5310344827586206,0.5090048072564786
WinPct,AVG,0.38415149905014856,0.35933319769037997,0.38415149905014856
WinPct,H,0.3531162271745617,0.22249416090509655,0.3531162271745617
WinPct,HBP,0.24527431768757121,0.2865724792457644,0.24527431768757121
WinPct,SO,-0.17493656832010476,-0.15773081201334815,0.17493656832010476
WinPct,CS,-0.15818328434730106,-0.1139804350363848,0.15818328434730106
WinPct,SB,0.12423327903038517,0.1875417130144605,0.12423327903038517
